symbol,timeframe,model_name,ml_proba_threshold,folds,total_test_rows,base_pnl,ml_pnl,delta_pnl,base_avg_return,ml_avg_return,delta_avg_return,base_buys,ml_buys,ml_blocked_buys,avg_precision_1,avg_recall_1,avg_f1_1,ml_pnl_better
BTCUSDT,5m,RandomForest,0.65,44,44000,-290.5326310558454,-18.643437841453665,271.88919321439175,-0.12603014342178664,-0.007782599509421909,0.11824754391236474,440,26,414,0.3239288004987885,0.5006759654325492,0.384878709951664,True
BTCUSDT,5m,RandomForest,0.55,44,44000,-290.5326310558454,-26.75432315602549,263.77830789981994,-0.12603014342178664,-0.018353255262734156,0.10767688815905246,440,90,350,0.3239288004987885,0.5006759654325492,0.384878709951664,True
BTCUSDT,5m,RandomForest,0.6,44,44000,-290.5326310558454,-40.52824408071506,250.00438697513036,-0.12603014342178664,-0.015892782745618204,0.11013736067616843,440,49,391,0.3239288004987885,0.5006759654325492,0.384878709951664,True
BTCUSDT,5m,RandomForest,0.5,44,44000,-290.5326310558454,-64.75662210636831,225.7760089494771,-0.12603014342178664,-0.04008105047872091,0.08594909294306573,440,186,254,0.3239288004987885,0.5006759654325492,0.384878709951664,True
