symbol,timeframe,fold,train_start,train_end,test_start,test_end,selection_objective,condition,condition_size,train_condition,train_condition_size,train_tp_rate,train_sl_rate,train_lookahead_steps,train_base_signal_count,train_filtered_signal_count,train_blocked_signal_count,train_blocked_trade_count,train_delta_pnl,train_delta_avg_pnl,train_base_trade_count,train_base_total_pnl,train_base_avg_pnl,train_base_win_rate,train_base_gross_profit,train_base_gross_loss,train_base_profit_factor,train_base_final_equity,train_base_total_return,train_base_take_profit_count,train_base_stop_loss_count,train_base_time_exit_count,train_filtered_trade_count,train_filtered_total_pnl,train_filtered_avg_pnl,train_filtered_win_rate,train_filtered_gross_profit,train_filtered_gross_loss,train_filtered_profit_factor,train_filtered_final_equity,train_filtered_total_return,train_filtered_take_profit_count,train_filtered_stop_loss_count,train_filtered_time_exit_count,test_tp_rate,test_sl_rate,test_lookahead_steps,test_base_signal_count,test_filtered_signal_count,test_blocked_signal_count,test_blocked_trade_count,test_delta_pnl,test_delta_avg_pnl,test_base_trade_count,test_base_total_pnl,test_base_avg_pnl,test_base_win_rate,test_base_gross_profit,test_base_gross_loss,test_base_profit_factor,test_base_final_equity,test_base_total_return,test_base_take_profit_count,test_base_stop_loss_count,test_base_time_exit_count,test_filtered_trade_count,test_filtered_total_pnl,test_filtered_avg_pnl,test_filtered_win_rate,test_filtered_gross_profit,test_filtered_gross_loss,test_filtered_profit_factor,test_filtered_final_equity,test_filtered_total_return,test_filtered_take_profit_count,test_filtered_stop_loss_count,test_filtered_time_exit_count
SOLUSDT,5m,1,2025-11-24 19:15:00+00:00,2025-12-12 03:50:00+00:00,2025-12-12 03:55:00+00:00,2025-12-15 15:10:00+00:00,delta_pnl,volume_zscore_24 > 0 AND rsi_14 > q75,2,volume_zscore_24 > 0 AND rsi_14 > q75,2,0.03,0.012,72,35,17,18,15,24.68420138314025,4.70738947536504,31,104.64366246024747,3.3756020148466925,54.83870967741935,260.25427340137,155.61061094112256,1.6724712526181191,10104.643662460245,1.0464366246024475,7,9,15,16,129.32786384338772,8.082991490211732,68.75,186.30576886879476,56.97790502540704,3.2697897331556693,10129.327863843386,1.293278638433858,5,3,8,0.03,0.012,72,3,2,1,1,-2.7119143545714905,-0.10019649658336993,3,7.534564084214253,2.511521361404751,66.66666666666666,7.754322967317535,0.21975888310328173,35.28559509320576,10007.534564084213,0.07534564084213342,0,0,3,2,4.822649729642762,2.411324864821381,50.0,5.042408612746044,0.21975888310328173,22.945186749862692,10004.822649729642,0.04822649729641853,0,0,2
SOLUSDT,5m,13,2026-01-05 11:15:00+00:00,2026-01-22 19:50:00+00:00,2026-01-22 19:55:00+00:00,2026-01-26 07:10:00+00:00,delta_pnl,volume_zscore_24 <= 0 AND rsi_14 > q75,2,volume_zscore_24 <= 0 AND rsi_14 > q75,2,0.03,0.012,72,30,15,15,14,13.04179159559078,3.3423829115110926,29,76.83747215965661,2.6495680055054005,44.827586206896555,192.0720816840858,115.23460952442917,1.6667916216904215,10076.83747215965,0.7683747215965013,3,7,19,15,89.8792637552474,5.991950917016493,53.333333333333336,129.28621085435168,39.406947099104286,3.280797432219517,10089.879263755245,0.8987926375524513,2,2,11,0.03,0.012,72,6,2,4,4,29.037372210642047,-1.2085993547048206,6,-47.181856380077534,-7.863642730012923,0.0,0.0,47.181856380077534,0.0,9952.818143619921,-0.471818563800789,0,2,4,2,-18.144484169435486,-9.072242084717743,0.0,0.0,18.144484169435486,0.0,9981.855515830564,-0.18144484169435598,0,1,1
SOLUSDT,5m,15,2026-01-12 09:55:00+00:00,2026-01-29 18:30:00+00:00,2026-01-29 18:35:00+00:00,2026-02-02 05:50:00+00:00,delta_pnl,volume_zscore_24 > 0 AND rsi_14 > q75,2,volume_zscore_24 > 0 AND rsi_14 > q75,2,0.03,0.012,72,31,17,14,11,2.3708280054951274,-1.4130415963074587,28,-67.18099854511036,-2.399321376611084,28.57142857142857,83.1344073862557,150.31540593136606,0.5530664463243031,9932.819001454884,-0.6718099854511639,0,8,20,17,-64.81017053961523,-3.812362972918543,29.411764705882355,39.221917818357724,104.03208835797295,0.3770174994795419,9935.18982946038,-0.6481017053962023,0,6,11,0.03,0.012,72,6,0,6,6,25.86668136118908,4.31111356019818,6,-25.86668136118908,-4.31111356019818,16.666666666666664,28.76437080000005,54.63105216118913,0.5265205347890914,9974.13331863881,-0.25866681361190785,1,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0,0,0
SOLUSDT,5m,16,2026-01-15 21:15:00+00:00,2026-02-02 05:50:00+00:00,2026-02-02 05:55:00+00:00,2026-02-05 17:10:00+00:00,delta_pnl,volume_zscore_24 > 0 AND rsi_14 > q75,2,volume_zscore_24 > 0 AND rsi_14 > q75,2,0.03,0.012,72,32,15,17,14,66.60090728950786,0.18413293675286457,29,-132.237748850588,-4.559922374158207,17.24137931034483,59.52346492196716,191.76121377255515,0.3104040892887076,9867.762251149403,-1.322377488505972,1,11,17,15,-65.63684156108013,-4.375789437405342,26.666666666666668,25.210002476892782,90.84684403797291,0.27750003584445154,9934.363158438917,-0.656368415610832,0,5,10,0.03,0.012,72,7,1,6,6,47.44457913242911,-4.523840969653113,7,-60.629823452429264,-8.661403350347038,14.285714285714285,18.48164246757119,79.11146592000046,0.2336152193951292,9939.370176547569,-0.6062982345243109,0,6,1,1,-13.185244320000152,-13.185244320000152,0.0,0.0,13.185244320000152,0.0,9986.81475568,-0.13185244320000492,0,1,0
SOLUSDT,5m,17,2026-01-19 08:35:00+00:00,2026-02-05 17:10:00+00:00,2026-02-05 17:15:00+00:00,2026-02-09 04:30:00+00:00,delta_pnl,volume_zscore_24 <= 0 AND rsi_14 > q75,2,volume_zscore_24 <= 0 AND rsi_14 > q75,2,0.03,0.012,72,33,20,13,12,87.1772049750964,0.6447311236243713,31,-193.56222686776948,-6.243942802186113,16.129032258064516,67.97913775882284,261.5413646265923,0.25991734751356815,9806.437773132222,-1.93562226867778,1,17,13,19,-106.38502189267308,-5.599211678561741,15.789473684210526,53.81455895694182,160.1995808496149,0.33592197102849775,9893.614978107322,-1.063850218926782,1,11,7,0.03,0.012,72,6,4,2,2,-15.579126480000127,-3.4958012600000643,6,4.78776431999961,0.797960719999935,33.33333333333333,57.528741599999876,52.740977280000266,1.0907788320755134,10004.787764319997,0.04787764319997223,2,4,0,4,-10.791362160000517,-2.6978405400001293,25.0,28.764370799999824,39.55573296000034,0.7271858880503368,9989.208637839998,-0.10791362160001881,1,3,0
SOLUSDT,5m,18,2026-01-22 19:55:00+00:00,2026-02-09 04:30:00+00:00,2026-02-09 04:35:00+00:00,2026-02-12 15:50:00+00:00,delta_pnl,volume_zscore_24 <= 0 AND rsi_14 > q75,2,volume_zscore_24 <= 0 AND rsi_14 > q75,2,0.03,0.012,72,32,22,10,9,25.42922937429887,-0.7317830983144775,30,-135.988914796343,-4.532963826544767,20.0,118.93933366945214,254.92824846579515,0.46656003948268115,9864.011085203649,-1.3598891479635131,3,17,10,21,-110.55968542204414,-5.264746924859245,14.285714285714285,76.01038406757107,186.5700694896152,0.40740931423516424,9889.44031457795,-1.1055968542204937,2,13,6,0.03,0.012,72,5,3,2,2,-15.5791264799999,-5.758715615834497,5,-4.24255091875898,-0.8485101837517959,40.0,35.31318204124136,39.55573296000034,0.8927449802775961,9995.75744908124,-0.04242550918759662,1,3,1,3,-19.82167739875888,-6.607225799586293,33.33333333333333,6.54881124124131,26.37048864000019,0.2483386383408807,9980.178322601241,-0.19821677398758766,0,2,1
SOLUSDT,5m,22,2026-02-05 17:15:00+00:00,2026-02-23 01:50:00+00:00,2026-02-23 01:55:00+00:00,2026-02-26 13:10:00+00:00,delta_pnl,volume_zscore_24 > 0 AND rsi_14 > q75,2,volume_zscore_24 > 0 AND rsi_14 > q75,2,0.03,0.012,72,34,18,16,14,37.537494554166074,1.8785245509566861,29,-19.38779731461841,-0.6685447349868417,37.93103448275862,170.0560453066346,189.443842621253,0.8976593958063889,9980.612202685377,-0.1938779731462273,3,13,13,15,18.149697239547663,1.2099798159698443,40.0,101.54838248928081,83.39868524973315,1.2176256997960977,10018.149697239547,0.18149697239547094,2,5,8,0.03,0.012,72,4,2,2,2,-47.03452339259263,-18.351253008148177,4,20.664034752592556,5.166008688148139,50.0,47.03452339259263,26.370488640000076,1.7836045450158369,10020.664034752592,0.2066403475259176,1,2,1,2,-26.370488640000076,-13.185244320000038,0.0,0.0,26.370488640000076,0.0,9973.629511359999,-0.26370488640000983,0,2,0
SOLUSDT,5m,25,2026-02-16 03:15:00+00:00,2026-03-05 11:50:00+00:00,2026-03-05 11:55:00+00:00,2026-03-08 23:10:00+00:00,delta_pnl,volume_zscore_24 <= 0 AND rsi_14 > q75,2,volume_zscore_24 <= 0 AND rsi_14 > q75,2,0.03,0.012,72,33,16,17,12,14.791005411549122,-0.6895258474831416,28,-60.254644266318564,-2.1519515809399485,32.142857142857146,148.5435534434141,208.79819770973268,0.7114216265885425,9939.745355733674,-0.6025464426632607,2,14,12,16,-45.46363885476944,-2.84147742842309,31.25,78.52187375157428,123.98551260634372,0.6333149099514769,9954.536361145225,-0.4546363885477513,1,9,6,0.03,0.012,72,6,2,4,3,34.481836503007344,6.112185440362896,5,-37.09577603713592,-7.419155207427184,20.0,3.520817348521632,40.61659338565755,0.08668421093544729,9962.904223962865,-0.37095776037134787,0,2,3,2,-2.6139395341285763,-1.3069697670642881,50.0,3.520817348521632,6.134756882650208,0.5739131013453695,9997.386060465873,-0.026139395341269845,0,0,2
SOLUSDT,5m,26,2026-02-19 14:35:00+00:00,2026-03-08 23:10:00+00:00,2026-03-08 23:15:00+00:00,2026-03-12 10:30:00+00:00,delta_pnl,volume_zscore_24 <= 0 AND rsi_14 > q75,2,volume_zscore_24 <= 0 AND rsi_14 > q75,2,0.03,0.012,72,29,15,14,11,51.97648261320683,1.251413517786305,26,-78.48520690970167,-3.018661804219295,26.923076923076923,125.60920313474753,204.0944100444492,0.6154465627323719,9921.514793090293,-0.784852069097069,2,13,11,15,-26.508724296494847,-1.76724828643299,33.33333333333333,77.24105655249912,103.74978084899396,0.744493683942544,9973.491275703502,-0.2650872429649826,1,7,7,0.03,0.012,72,7,5,2,2,7.80319408647415,5.603742093024882,6,43.83532285687613,7.305887142812689,66.66666666666666,70.2058114968761,26.370488639999962,2.662287091274627,10043.835322856874,0.4383532285687397,1,2,3,4,51.63851694335028,12.90962923583757,75.0,64.8237612633502,13.185244319999924,4.916386810142217,10051.638516943349,0.516385169433488,1,1,2
SOLUSDT,5m,27,2026-02-23 01:55:00+00:00,2026-03-12 10:30:00+00:00,2026-03-12 10:35:00+00:00,2026-03-15 21:50:00+00:00,delta_pnl,volume_zscore_24 <= 0 AND rsi_14 > q75,2,volume_zscore_24 <= 0 AND rsi_14 > q75,2,0.03,0.012,72,29,17,12,10,64.04197737059701,3.342528961824806,26,-27.459936351640295,-1.0561513981400112,34.61538461538461,169.4195217774859,196.8794581291262,0.8605241165707074,9972.540063648354,-0.2745993635164632,3,13,10,16,36.582041018956716,2.2863775636847947,43.75,135.27310074396019,98.69105972500347,1.3706722890694487,10036.582041018952,0.36582041018951716,2,7,7,0.03,0.012,72,7,2,5,4,5.829216615394444,20.147783302565777,6,51.69952498460566,8.616587497434276,66.66666666666666,78.07001362460574,26.370488640000076,2.960506901877625,10051.699524984604,0.5169952498460407,2,2,2,2,57.5287416000001,28.76437080000005,100.0,57.5287416000001,0.0,999.0,10057.5287416,0.5752874159999919,2,0,0
