symbol,timeframe,filter_name,tp_rate,sl_rate,lookahead_steps,folds,train_rows,test_rows,step_rows,features,fee_rate,base_trade_count,filtered_trade_count,blocked_trade_count,base_total_pnl,filtered_total_pnl,delta_pnl,base_avg_pnl,filtered_avg_pnl,avg_base_win_rate,avg_filtered_win_rate,base_profit_factor,filtered_profit_factor,delta_positive_folds,delta_positive_fold_rate,filtered_profitable_folds,filtered_profitable_fold_rate
SOLUSDT,5m,rolling_std_24 > q75 AND atr_14 > q75,0.035,0.012,96,44,5000,1000,1000,"rolling_std_24,atr_14,volume_zscore_24,rsi_14",0.0002,226,51,175,115.58402896696441,219.64670775567322,104.06267878870881,0.511433756490993,4.30679819128771,43.30627705627706,35.75757575757576,1.0910016083343173,1.6801176528336164,24,54.54545454545454,16,36.36363636363637
SOLUSDT,5m,rolling_std_24 > q75 AND atr_14 > q75,0.03,0.012,96,44,5000,1000,1000,"rolling_std_24,atr_14,volume_zscore_24,rsi_14",0.0002,226,51,175,113.1430638401514,209.40952202298456,96.26645818283316,0.5006330258413779,4.1060690592742075,43.30627705627706,35.75757575757576,1.0890797878681746,1.6484190637526328,22,50.0,17,38.63636363636363
SOLUSDT,5m,rolling_std_24 > q75 AND atr_14 > q75,0.035,0.015,96,44,5000,1000,1000,"rolling_std_24,atr_14,volume_zscore_24,rsi_14",0.0002,221,51,170,72.41868109241716,190.8189502101801,118.40026911776295,0.327686339784693,3.7415480433368646,45.64935064935065,38.03030303030303,1.0547880642098628,1.5387901419747148,23,52.27272727272727,16,36.36363636363637
SOLUSDT,5m,rolling_std_24 > q75 AND atr_14 > q75,0.03,0.015,96,44,5000,1000,1000,"rolling_std_24,atr_14,volume_zscore_24,rsi_14",0.0002,221,51,170,69.97771596560438,180.58176447749145,110.60404851188707,0.316641248713142,3.540818911323362,45.64935064935065,38.03030303030303,1.0529413617833001,1.5098847594209301,21,47.72727272727273,17,38.63636363636363
SOLUSDT,5m,rolling_std_24 > q75 AND atr_14 > q75,0.035,0.012,72,44,5000,1000,1000,"rolling_std_24,atr_14,volume_zscore_24,rsi_14",0.0002,242,51,191,152.91222456604964,168.35506785930409,15.442843293254441,0.6318686965539242,3.301079761947139,42.48647186147186,33.03030303030303,1.1251517190991251,1.5332890905548129,26,59.09090909090909,16,36.36363636363637
SOLUSDT,5m,rolling_std_24 > q75 AND atr_14 > q75,0.03,0.012,72,44,5000,1000,1000,"rolling_std_24,atr_14,volume_zscore_24,rsi_14",0.0002,242,51,191,130.19623803535308,161.09120022440368,30.894962189050602,0.5380009836171614,3.158650984792229,42.48647186147186,33.03030303030303,1.1065597146114707,1.510279736490319,26,59.09090909090909,16,36.36363636363637
SOLUSDT,5m,rolling_std_24 > q75 AND atr_14 > q75,0.035,0.012,48,44,5000,1000,1000,"rolling_std_24,atr_14,volume_zscore_24,rsi_14",0.0002,262,51,211,152.59413806904558,156.25584316217498,3.661705093129399,0.5824203743093342,3.063840062003431,44.67712842712842,34.54545454545455,1.138460887753207,1.5611970082433033,23,52.27272727272727,16,36.36363636363637
SOLUSDT,5m,rolling_std_24 > q75 AND atr_14 > q75,0.025,0.012,48,44,5000,1000,1000,"rolling_std_24,atr_14,volume_zscore_24,rsi_14",0.0002,262,51,211,113.33504116220774,148.49608901684257,35.16104785463483,0.43257649298552575,2.9116880199380897,44.96121933621933,35.303030303030305,1.1028423644113083,1.5334179936498482,23,52.27272727272727,16,36.36363636363637
SOLUSDT,5m,rolling_std_24 > q75 AND atr_14 > q75,0.025,0.012,96,44,5000,1000,1000,"rolling_std_24,atr_14,volume_zscore_24,rsi_14",0.0002,228,51,177,93.43430975486353,144.53392981410104,51.09962005923751,0.40979960418799793,2.8339986238059027,43.468614718614724,35.75757575757576,1.0735626931963893,1.447537220586663,20,45.45454545454545,17,38.63636363636363
SOLUSDT,5m,rolling_std_24 > q75 AND atr_14 > q75,0.03,0.012,48,44,5000,1000,1000,"rolling_std_24,atr_14,volume_zscore_24,rsi_14",0.0002,262,51,211,124.45516573621092,142.73279158299647,18.277625846785554,0.47501971655042335,2.7986821879018917,44.67712842712842,34.54545454545455,1.1129281435798737,1.512628609551945,23,52.27272727272727,16,36.36363636363637
