symbol,timeframe,model_name,ml_proba_threshold,fold,train_rows,test_rows,train_start,train_end,test_start,test_end,accuracy,precision_1,recall_1,f1_1,base_final_equity,base_total_return,base_realized_pnl,base_buy_count,base_sell_count,base_win_rate,base_take_profit_count,base_stop_loss_count,base_sma_exit_count,base_blocked_buy_count,ml_final_equity,ml_total_return,ml_realized_pnl,ml_buy_count,ml_sell_count,ml_win_rate,ml_take_profit_count,ml_stop_loss_count,ml_sma_exit_count,ml_blocked_buy_count,delta_pnl,delta_return
BTCUSDT,5m,LogisticRegression,0.5,4,3000,500,2025-12-17 04:15:00+00:00,2026-02-14 15:35:00+00:00,2026-02-14 15:40:00+00:00,2026-02-24 14:25:00+00:00,0.532,0.2229299363057325,0.23809523809523808,0.23026315789473684,9958.955956722188,-0.4104404327781231,-36.84404327781052,7,7,0.0,0,5,2,0,9964.195759273984,-0.3580424072601636,-32.20424072601393,6,6,0.0,0,4,2,1,4.639802551796592,0.05239802551795947
BTCUSDT,5m,LogisticRegression,0.55,4,3000,500,2025-12-17 04:15:00+00:00,2026-02-14 15:35:00+00:00,2026-02-14 15:40:00+00:00,2026-02-24 14:25:00+00:00,0.532,0.2229299363057325,0.23809523809523808,0.23026315789473684,9958.955956722188,-0.4104404327781231,-36.84404327781052,7,7,0.0,0,5,2,0,9964.195759273984,-0.3580424072601636,-32.20424072601393,6,6,0.0,0,4,2,1,4.639802551796592,0.05239802551795947
BTCUSDT,5m,LogisticRegression,0.6,4,3000,500,2025-12-17 04:15:00+00:00,2026-02-14 15:35:00+00:00,2026-02-14 15:40:00+00:00,2026-02-24 14:25:00+00:00,0.532,0.2229299363057325,0.23809523809523808,0.23026315789473684,9958.955956722188,-0.4104404327781231,-36.84404327781052,7,7,0.0,0,5,2,0,9972.564816389942,-0.27435183610057723,-24.435183610054857,5,5,0.0,0,3,2,2,12.408859667755664,0.13608859667754586
BTCUSDT,5m,LogisticRegression,0.65,4,3000,500,2025-12-17 04:15:00+00:00,2026-02-14 15:35:00+00:00,2026-02-14 15:40:00+00:00,2026-02-24 14:25:00+00:00,0.532,0.2229299363057325,0.23809523809523808,0.23026315789473684,9958.955956722188,-0.4104404327781231,-36.84404327781052,7,7,0.0,0,5,2,0,9981.919099749042,-0.18080900250957713,-16.88090025095648,2,2,0.0,0,2,0,5,19.96314302685404,0.22963143026854596
BTCUSDT,5m,LogisticRegression,0.5,5,3000,500,2026-01-04 23:45:00+00:00,2026-02-24 14:25:00+00:00,2026-02-24 14:30:00+00:00,2026-03-02 00:15:00+00:00,0.586,0.546875,0.6060606060606061,0.5749486652977412,9985.608137013143,-0.1439186298685672,-10.791862986856962,6,6,50.0,0,3,2,0,9985.608137013143,-0.1439186298685672,-10.791862986856962,6,6,50.0,0,3,2,0,0.0,0.0
BTCUSDT,5m,LogisticRegression,0.55,5,3000,500,2026-01-04 23:45:00+00:00,2026-02-24 14:25:00+00:00,2026-02-24 14:30:00+00:00,2026-03-02 00:15:00+00:00,0.586,0.546875,0.6060606060606061,0.5749486652977412,9985.608137013143,-0.1439186298685672,-10.791862986856962,6,6,50.0,0,3,2,0,9988.589682997803,-0.11410317002197189,-10.210317002196819,2,2,50.0,0,1,0,4,0.5815459846601438,0.029815459846595324
BTCUSDT,5m,LogisticRegression,0.6,5,3000,500,2026-01-04 23:45:00+00:00,2026-02-24 14:25:00+00:00,2026-02-24 14:30:00+00:00,2026-03-02 00:15:00+00:00,0.586,0.546875,0.6060606060606061,0.5749486652977412,9985.608137013143,-0.1439186298685672,-10.791862986856962,6,6,50.0,0,3,2,0,10000.0,0.0,0.0,0,0,0.0,0,0,0,6,10.791862986856962,0.1439186298685672
BTCUSDT,5m,LogisticRegression,0.65,5,3000,500,2026-01-04 23:45:00+00:00,2026-02-24 14:25:00+00:00,2026-02-24 14:30:00+00:00,2026-03-02 00:15:00+00:00,0.586,0.546875,0.6060606060606061,0.5749486652977412,9985.608137013143,-0.1439186298685672,-10.791862986856962,6,6,50.0,0,3,2,0,10000.0,0.0,0.0,0,0,0.0,0,0,0,6,10.791862986856962,0.1439186298685672
BTCUSDT,5m,LogisticRegression,0.5,6,3000,500,2026-01-25 17:55:00+00:00,2026-03-02 00:15:00+00:00,2026-03-02 00:20:00+00:00,2026-03-06 17:10:00+00:00,0.588,0.4645669291338583,0.6276595744680851,0.5339366515837104,10033.240562492789,0.3324056249278874,35.64056249279102,4,4,75.0,2,0,2,0,10036.459971846087,0.36459971846086775,38.259971846088526,3,3,100.0,2,0,1,1,2.619409353297506,0.03219409353298036
BTCUSDT,5m,LogisticRegression,0.55,6,3000,500,2026-01-25 17:55:00+00:00,2026-03-02 00:15:00+00:00,2026-03-02 00:20:00+00:00,2026-03-06 17:10:00+00:00,0.588,0.4645669291338583,0.6276595744680851,0.5339366515837104,10033.240562492789,0.3324056249278874,35.64056249279102,4,4,75.0,2,0,2,0,10022.288808129491,0.22288808129491372,23.48880812949285,2,2,100.0,1,0,1,2,-12.15175436329817,-0.10951754363297367
