symbol,timeframe,fold,train_start,train_end,test_start,test_end,selection_objective,condition,condition_size,train_condition,train_condition_size,train_tp_rate,train_sl_rate,train_lookahead_steps,train_reward_risk,train_condition_rate_pct,train_entry_count,train_tp_count,train_sl_count,train_time_exit_count,train_tp_rate_pct,train_sl_rate_pct,train_time_exit_rate_pct,train_avg_gross_return,train_avg_net_return,train_trade_count,train_total_pnl,train_avg_pnl,train_win_rate,train_gross_profit,train_gross_loss,train_profit_factor,train_final_equity,train_total_return,train_sim_tp_count,train_sim_sl_count,train_sim_time_exit_count,test_tp_rate,test_sl_rate,test_lookahead_steps,test_reward_risk,test_condition_rate_pct,test_entry_count,test_tp_count,test_sl_count,test_time_exit_count,test_tp_rate_pct,test_sl_rate_pct,test_time_exit_rate_pct,test_avg_gross_return,test_avg_net_return,test_trade_count,test_total_pnl,test_avg_pnl,test_win_rate,test_gross_profit,test_gross_loss,test_profit_factor,test_final_equity,test_total_return,test_sim_tp_count,test_sim_sl_count,test_sim_time_exit_count
BTCUSDT,15m,11,2025-03-27 02:00:00+00:00,2025-05-18 03:45:00+00:00,2025-05-18 04:00:00+00:00,2025-05-28 13:45:00+00:00,total_pnl,rolling_std_24 > q75 AND volume_zscore_24 > q75,2,rolling_std_24 > q75 AND volume_zscore_24 > q75,2,0.02,0.012,72,1.6666666666666667,4.92,246,99,104,43,40.243902439024396,42.27642276422765,17.479674796747968,0.003846029033435585,0.0026460290334355853,65,273.7548577544885,4.2116131962229,56.92307692307692,616.6970704767685,342.94221272228003,1.7982536054147975,10273.754857754484,2.73754857754484,30,25,10,0.02,0.012,72,1.6666666666666667,5.1,51,14,23,14,27.450980392156865,45.09803921568628,27.450980392156865,0.000672978426923262,-0.0005270215730767379,11,10.083839527487157,0.9167126843170142,45.45454545454545,80.43157352305423,70.34773399556707,1.1433427767285664,10010.083839527486,0.10083839527485906,4,5,2
BTCUSDT,15m,12,2025-04-06 12:00:00+00:00,2025-05-28 13:45:00+00:00,2025-05-28 14:00:00+00:00,2025-06-07 23:45:00+00:00,total_pnl,volume_zscore_24 > q75 AND rsi_14 <= q25,2,volume_zscore_24 > q75 AND rsi_14 <= q25,2,0.03,0.012,96,2.5,8.0,399,78,140,181,19.548872180451127,35.08771929824561,45.363408521303256,0.004820932606851871,0.003620932606851871,63,254.95836693889805,4.046958205379334,57.14285714285714,592.9912309029014,338.03286396400335,1.754241359698234,10254.95836693888,2.5495836693887943,15,23,25,0.03,0.012,96,2.5,9.0,90,4,37,49,4.444444444444445,41.11111111111111,54.44444444444444,-0.0009155438489574151,-0.002115543848957415,13,-31.503550773161578,-2.4233500594739676,38.46153846153847,60.22807135310745,91.73162212626903,0.6565682581106351,9968.496449226837,-0.31503550773162714,1,6,6
BTCUSDT,15m,13,2025-04-16 22:00:00+00:00,2025-06-07 23:45:00+00:00,2025-06-08 00:00:00+00:00,2025-06-18 09:45:00+00:00,total_pnl,atr_14 > q75 AND volume_zscore_24 between q25-q50,2,atr_14 > q75 AND volume_zscore_24 between q25-q50,2,0.03,0.012,96,2.5,7.08,354,67,144,143,18.926553672316384,40.67796610169492,40.3954802259887,0.0033381822766179277,0.002138182276617928,50,204.34871007178538,4.086974201435708,54.0,467.67141610375995,263.3227060319746,1.7760390782516562,10204.348710071774,2.043487100717739,11,19,20,0.03,0.012,96,2.5,6.0,60,0,26,34,0.0,43.333333333333336,56.666666666666664,-0.0024449961272301835,-0.003644996127230183,9,-30.564310495784298,-3.3960344995315888,44.44444444444444,35.36191110421612,65.92622160000042,0.5363861335595774,9969.435689504211,-0.3056431049578896,0,5,4
BTCUSDT,15m,14,2025-04-27 08:00:00+00:00,2025-06-18 09:45:00+00:00,2025-06-18 10:00:00+00:00,2025-06-28 19:45:00+00:00,total_pnl,volume_zscore_24 > 0 AND 35 <= rsi_14 < 45,2,volume_zscore_24 > 0 AND 35 <= rsi_14 < 45,2,0.03,0.015,96,2.0,5.86,293,41,94,158,13.993174061433447,32.081911262798634,53.92491467576792,0.0013540177409864806,0.00015401774098648072,53,166.88286583385639,3.1487333176199317,52.83018867924528,463.3103168543312,296.4274510204748,1.56298047046368,10166.88286583385,1.668828658338498,10,15,28,0.03,0.015,96,2.0,7.3,73,5,22,46,6.8493150684931505,30.136986301369863,63.013698630136986,-0.0011245539801503198,-0.0023245539801503195,12,11.245562180254524,0.937130181687877,50.0,80.3940503949591,69.14848821470457,1.1626291835236844,10011.245562180255,0.11245562180254637,2,4,6
BTCUSDT,15m,15,2025-05-07 18:00:00+00:00,2025-06-28 19:45:00+00:00,2025-06-28 20:00:00+00:00,2025-07-09 05:45:00+00:00,total_pnl,volume_zscore_24 > 0 AND rsi_14 between q25-q50,2,volume_zscore_24 > 0 AND rsi_14 between q25-q50,2,0.03,0.01,48,3.0,6.419999999999999,321,17,87,217,5.29595015576324,27.102803738317753,67.601246105919,0.0016052528645427915,0.00040525286454279157,79,188.58009671087177,2.387089831783187,50.63291139240506,493.73573115433567,305.1556344434639,1.6179800581260773,10188.580096710859,1.8858009671085894,8,20,51,0.03,0.01,48,3.0,8.0,80,0,14,66,0.0,17.5,82.5,0.0011806369480998203,-1.9363051900179572e-05,18,5.497042191999526,0.30539123288886255,50.0,64.15976742331327,58.66272523131374,1.0937058783124047,10005.497042191999,0.05497042191998844,0,3,15
BTCUSDT,15m,16,2025-05-18 04:00:00+00:00,2025-07-09 05:45:00+00:00,2025-07-09 06:00:00+00:00,2025-07-19 15:45:00+00:00,total_pnl,volume_zscore_24 between q25-q50 AND rsi_14 <= q25,2,volume_zscore_24 between q25-q50 AND rsi_14 <= q25,2,0.03,0.012,96,2.5,5.680000000000001,284,27,124,133,9.507042253521126,43.66197183098591,46.83098591549296,-0.00043333794215979376,-0.0016333379421597937,57,124.0494071175068,2.176305388026435,50.877192982456144,419.28817613680064,295.23876901929384,1.4201663878005133,10124.049407117494,1.2404940711749441,9,20,28,0.03,0.012,96,2.5,3.2,32,4,8,20,12.5,25.0,62.5,0.008414653586470835,0.007214653586470835,9,48.83744422601751,5.4263826917797235,55.55555555555556,101.57842150601743,52.740977279999925,1.9259867136466073,10048.837444226014,0.48837444226013754,2,4,3
BTCUSDT,15m,17,2025-05-28 14:00:00+00:00,2025-07-19 15:45:00+00:00,2025-07-19 16:00:00+00:00,2025-07-30 01:45:00+00:00,total_pnl,volume_zscore_24 between q50-q75 AND 65 <= rsi_14 < 100,2,volume_zscore_24 between q50-q75 AND 65 <= rsi_14 < 100,2,0.02,0.015,48,1.3333333333333335,5.6000000000000005,280,53,46,181,18.928571428571427,16.428571428571427,64.64285714285715,0.0024793750823191595,0.0012793750823191596,58,152.10830861984152,2.6225570451696814,50.0,314.1008863758308,161.99257775598926,1.9389831974213256,10152.108308619843,1.5210830861984321,11,5,42,0.02,0.015,48,1.3333333333333335,3.6999999999999997,37,0,14,23,0.0,37.83783783783784,62.16216216216216,-0.005822578681762894,-0.007022578681762893,11,-44.752369274895614,-4.068397206808692,45.45454545454545,11.415326258762775,56.16769553365839,0.2032365072183202,9955.247630725109,-0.4475236927489096,0,2,9
BTCUSDT,15m,18,2025-06-08 00:00:00+00:00,2025-07-30 01:45:00+00:00,2025-07-30 02:00:00+00:00,2025-08-09 11:45:00+00:00,total_pnl,volume_zscore_24 > 0 AND 35 <= rsi_14 < 45,2,volume_zscore_24 > 0 AND 35 <= rsi_14 < 45,2,0.03,0.008,96,3.75,6.4,320,22,156,142,6.875000000000001,48.75,44.375,0.0008994076970756304,-0.00030059230292436953,62,142.9285814497722,2.3052997008027774,50.0,400.13063908497793,257.20205763520573,1.5557054355004047,10142.928581449767,1.4292858144976708,8,27,27,0.03,0.008,96,3.75,7.1,71,0,45,26,0.0,63.38028169014085,36.61971830985916,-0.002266741310918264,-0.003466741310918264,13,-66.5906421613405,-5.122357089333884,15.384615384615385,24.465281456103412,91.05592361744391,0.26868412821652504,9933.40935783866,-0.6659064216133993,0,9,4
BTCUSDT,15m,19,2025-06-18 10:00:00+00:00,2025-08-09 11:45:00+00:00,2025-08-09 12:00:00+00:00,2025-08-19 21:45:00+00:00,total_pnl,rolling_std_24 > q75 AND rsi_14 between q25-q50,2,rolling_std_24 > q75 AND rsi_14 between q25-q50,2,0.01,0.01,72,1.0,6.140000000000001,307,145,101,61,47.23127035830619,32.89902280130293,19.86970684039088,0.0016954905436113706,0.0004954905436113707,57,124.31635317951725,2.1809886522722324,66.66666666666666,314.6694393899121,190.35308621039485,1.6530829399955826,10124.316353179534,1.2431635317953442,33,16,8,0.01,0.01,72,1.0,5.4,54,27,13,14,50.0,24.074074074074073,25.925925925925924,0.003131663011653593,0.001931663011653593,12,5.12111662495613,0.42675971874634416,50.0,52.73018159999992,47.60906497504379,1.107565998778606,10005.12111662496,0.0512111662495954,6,4,2
BTCUSDT,15m,20,2025-06-28 20:00:00+00:00,2025-08-19 21:45:00+00:00,2025-08-19 22:00:00+00:00,2025-08-30 07:45:00+00:00,total_pnl,volume_zscore_24 between q25-q50 AND 35 <= rsi_14 < 45,2,volume_zscore_24 between q25-q50 AND 35 <= rsi_14 < 45,2,0.02,0.01,72,2.0,5.319999999999999,266,48,85,133,18.045112781954884,31.954887218045116,50.0,0.0030713121134895703,0.0018713121134895704,67,119.54438351909005,1.7842445301356724,55.223880597014926,367.43459089862733,247.8902073795373,1.482247301266158,10119.544383519089,1.1954438351908903,10,19,38,0.02,0.01,72,2.0,5.4,54,0,29,25,0.0,53.70370370370371,46.2962962962963,-0.0029231177345408715,-0.004123117734540872,14,-51.71470074911372,-3.6939071963652657,35.714285714285715,37.90939324656688,89.6240939956806,0.4229821642425073,9948.285299250885,-0.5171470074911485,0,8,6
