symbol,timeframe,strategy_name,fold,train_start,train_end,test_start,test_end,test_short_sma,test_long_sma,test_rsi_buy_threshold,test_use_macd_filter,test_tp_rate,test_sl_rate,test_lookahead_steps,test_reward_risk,test_signal_count,test_trade_count,test_total_pnl,test_avg_pnl,test_win_rate,test_gross_profit,test_gross_loss,test_profit_factor,test_final_equity,test_total_return,test_take_profit_count,test_stop_loss_count,test_time_exit_count
SOLUSDT,5m,sma5_30_rsi60_macd_tp020_sl015_lh96,1,2025-11-24 19:15:00+00:00,2025-12-12 03:50:00+00:00,2025-12-12 03:55:00+00:00,2025-12-15 15:10:00+00:00,5,30,60.0,True,0.02,0.015,96,1.3333333333333335,9,8,-21.84988609829236,-2.731235762286545,50.0,25.259170912678655,47.109057010971014,0.5361850250323661,9978.15011390171,-0.2184988609829088,0,3,5
SOLUSDT,5m,sma5_30_rsi60_nomacd_tp020_sl015_lh96,1,2025-11-24 19:15:00+00:00,2025-12-12 03:50:00+00:00,2025-12-12 03:55:00+00:00,2025-12-15 15:10:00+00:00,5,30,60.0,False,0.02,0.015,96,1.3333333333333335,9,8,-21.84988609829236,-2.731235762286545,50.0,25.259170912678655,47.109057010971014,0.5361850250323661,9978.15011390171,-0.2184988609829088,0,3,5
SOLUSDT,5m,sma8_30_rsi65_macd_tp030_sl015_lh72,1,2025-11-24 19:15:00+00:00,2025-12-12 03:50:00+00:00,2025-12-12 03:55:00+00:00,2025-12-15 15:10:00+00:00,8,30,65.0,True,0.03,0.015,72,2.0,3,3,-29.08013203816563,-9.69337734605521,33.33333333333333,1.7077891618343983,30.787921200000028,0.05546945345028351,9970.919867961833,-0.29080132038166995,0,2,1
SOLUSDT,5m,sma12_50_rsi65_macd_tp030_sl012_lh72,1,2025-11-24 19:15:00+00:00,2025-12-12 03:50:00+00:00,2025-12-12 03:55:00+00:00,2025-12-15 15:10:00+00:00,12,50,65.0,True,0.03,0.012,72,2.5,3,3,9.94251800225959,3.314172667419863,100.0,9.94251800225959,0.0,999.0,10009.942518002259,0.09942518002259021,0,0,3
SOLUSDT,5m,sma10_80_rsi50_macd_tp030_sl006_lh96,1,2025-11-24 19:15:00+00:00,2025-12-12 03:50:00+00:00,2025-12-12 03:55:00+00:00,2025-12-15 15:10:00+00:00,10,80,50.0,True,0.03,0.006,96,5.0,9,8,-7.971348483083943,-0.9964185603854929,25.0,18.26843519341901,26.239783676502952,0.6962113490965217,9992.028651516915,-0.07971348483084512,0,4,4
SOLUSDT,5m,sma5_30_rsi60_macd_tp020_sl015_lh96,2,2025-11-28 06:35:00+00:00,2025-12-15 15:10:00+00:00,2025-12-15 15:15:00+00:00,2025-12-19 02:30:00+00:00,5,30,60.0,True,0.02,0.015,96,1.3333333333333335,7,6,53.51624504590745,8.919374174317909,83.33333333333334,56.107016901255975,2.590771855348521,21.656486959832375,10053.51624504591,0.5351624504591018,2,0,4
SOLUSDT,5m,sma5_30_rsi60_nomacd_tp020_sl015_lh96,2,2025-11-28 06:35:00+00:00,2025-12-15 15:10:00+00:00,2025-12-15 15:15:00+00:00,2025-12-19 02:30:00+00:00,5,30,60.0,False,0.02,0.015,96,1.3333333333333335,7,6,53.51624504590745,8.919374174317909,83.33333333333334,56.107016901255975,2.590771855348521,21.656486959832375,10053.51624504591,0.5351624504591018,2,0,4
SOLUSDT,5m,sma8_30_rsi65_macd_tp030_sl015_lh72,2,2025-11-28 06:35:00+00:00,2025-12-15 15:10:00+00:00,2025-12-15 15:15:00+00:00,2025-12-19 02:30:00+00:00,8,30,65.0,True,0.03,0.015,72,2.0,5,4,30.89474664089994,7.723686660224985,75.0,39.08706235925695,8.192315718357008,4.771186036162186,10030.8947466409,0.3089474664090085,1,0,3
SOLUSDT,5m,sma12_50_rsi65_macd_tp030_sl012_lh72,2,2025-11-28 06:35:00+00:00,2025-12-15 15:10:00+00:00,2025-12-15 15:15:00+00:00,2025-12-19 02:30:00+00:00,12,50,65.0,True,0.03,0.012,72,2.5,7,6,46.6094197094983,7.768236618249716,83.33333333333334,59.00458018949837,12.395160480000072,4.76029175134149,10046.609419709499,0.4660941970949898,1,1,4
SOLUSDT,5m,sma10_80_rsi50_macd_tp030_sl006_lh96,2,2025-11-28 06:35:00+00:00,2025-12-15 15:10:00+00:00,2025-12-15 15:15:00+00:00,2025-12-19 02:30:00+00:00,10,80,50.0,True,0.03,0.006,96,5.0,7,7,43.07194877127665,6.153135538753808,42.857142857142854,68.6621897312765,25.590240959999846,2.6831396327452524,10043.071948771276,0.43071948771275853,2,4,1
SOLUSDT,5m,sma5_30_rsi60_macd_tp020_sl015_lh96,3,2025-12-01 17:55:00+00:00,2025-12-19 02:30:00+00:00,2025-12-19 02:35:00+00:00,2025-12-22 13:50:00+00:00,5,30,60.0,True,0.02,0.015,96,1.3333333333333335,12,7,28.23091051681638,4.0329872166880545,57.14285714285714,47.67995630293069,19.44904578611431,2.4515319068749326,10028.230910516817,0.2823091051681695,2,1,4
SOLUSDT,5m,sma5_30_rsi60_nomacd_tp020_sl015_lh96,3,2025-12-01 17:55:00+00:00,2025-12-19 02:30:00+00:00,2025-12-19 02:35:00+00:00,2025-12-22 13:50:00+00:00,5,30,60.0,False,0.02,0.015,96,1.3333333333333335,12,7,28.23091051681638,4.0329872166880545,57.14285714285714,47.67995630293069,19.44904578611431,2.4515319068749326,10028.230910516817,0.2823091051681695,2,1,4
SOLUSDT,5m,sma8_30_rsi65_macd_tp030_sl015_lh72,3,2025-12-01 17:55:00+00:00,2025-12-19 02:30:00+00:00,2025-12-19 02:35:00+00:00,2025-12-22 13:50:00+00:00,8,30,65.0,True,0.03,0.015,72,2.0,6,5,33.71546797579822,6.743093595159644,40.0,42.97182158896874,9.256353613170518,4.642413566377342,10033.715467975799,0.33715467975798674,1,0,4
SOLUSDT,5m,sma12_50_rsi65_macd_tp030_sl012_lh72,3,2025-12-01 17:55:00+00:00,2025-12-19 02:30:00+00:00,2025-12-19 02:35:00+00:00,2025-12-22 13:50:00+00:00,12,50,65.0,True,0.03,0.012,72,2.5,9,7,4.658205988893087,0.6654579984132981,42.857142857142854,32.348240471007216,27.69003448211413,1.1682268034697454,10004.658205988891,0.04658205988891496,1,1,5
SOLUSDT,5m,sma10_80_rsi50_macd_tp030_sl006_lh96,3,2025-12-01 17:55:00+00:00,2025-12-19 02:30:00+00:00,2025-12-19 02:35:00+00:00,2025-12-22 13:50:00+00:00,10,80,50.0,True,0.03,0.006,96,5.0,13,9,7.052321057282029,0.7835912285868921,33.33333333333333,42.68579395760685,35.63347290032482,1.1979128185739578,10007.052321057281,0.07052321057281007,1,5,3
SOLUSDT,5m,sma5_30_rsi60_macd_tp020_sl015_lh96,4,2025-12-05 05:15:00+00:00,2025-12-22 13:50:00+00:00,2025-12-22 13:55:00+00:00,2025-12-26 01:10:00+00:00,5,30,60.0,True,0.02,0.015,96,1.3333333333333335,7,6,-10.572395860001507,-1.7620659766669178,33.33333333333333,24.380176052615184,34.95257191261669,0.6975216620272446,9989.427604139997,-0.10572395860002871,1,2,3
SOLUSDT,5m,sma5_30_rsi60_nomacd_tp020_sl015_lh96,4,2025-12-05 05:15:00+00:00,2025-12-22 13:50:00+00:00,2025-12-22 13:55:00+00:00,2025-12-26 01:10:00+00:00,5,30,60.0,False,0.02,0.015,96,1.3333333333333335,7,6,-10.572395860001507,-1.7620659766669178,33.33333333333333,24.380176052615184,34.95257191261669,0.6975216620272446,9989.427604139997,-0.10572395860002871,1,2,3
SOLUSDT,5m,sma8_30_rsi65_macd_tp030_sl015_lh72,4,2025-12-05 05:15:00+00:00,2025-12-22 13:50:00+00:00,2025-12-22 13:55:00+00:00,2025-12-26 01:10:00+00:00,8,30,65.0,True,0.03,0.015,72,2.0,6,5,-57.3715840339396,-11.47431680678792,20.0,4.204258366060458,61.575842400000056,0.06827772389615662,9942.628415966059,-0.5737158403394096,0,4,1
SOLUSDT,5m,sma12_50_rsi65_macd_tp030_sl012_lh72,4,2025-12-05 05:15:00+00:00,2025-12-22 13:50:00+00:00,2025-12-22 13:55:00+00:00,2025-12-26 01:10:00+00:00,12,50,65.0,True,0.03,0.012,72,2.5,8,5,5.308639239607601,1.0617278479215202,60.0,18.749391910791246,13.440752671183645,1.3949659196533746,10005.308639239607,0.053086392396071456,0,1,4
SOLUSDT,5m,sma10_80_rsi50_macd_tp030_sl006_lh96,4,2025-12-05 05:15:00+00:00,2025-12-22 13:50:00+00:00,2025-12-22 13:55:00+00:00,2025-12-26 01:10:00+00:00,10,80,50.0,True,0.03,0.006,96,5.0,7,7,-29.455502825295753,-4.20792897504225,14.285714285714285,8.929858614704244,38.38536144,0.23263708558958002,9970.544497174702,-0.2945550282529803,0,6,1
