symbol,timeframe,fold,train_start,train_end,test_start,test_end,selection_objective,train_short_sma,train_long_sma,train_rsi_buy_threshold,train_use_macd_filter,train_tp_rate,train_sl_rate,train_lookahead_steps,train_reward_risk,train_signal_count,train_trade_count,train_total_pnl,train_avg_pnl,train_win_rate,train_gross_profit,train_gross_loss,train_profit_factor,train_final_equity,train_total_return,train_take_profit_count,train_stop_loss_count,train_time_exit_count,test_short_sma,test_long_sma,test_rsi_buy_threshold,test_use_macd_filter,test_tp_rate,test_sl_rate,test_lookahead_steps,test_reward_risk,test_signal_count,test_trade_count,test_total_pnl,test_avg_pnl,test_win_rate,test_gross_profit,test_gross_loss,test_profit_factor,test_final_equity,test_total_return,test_take_profit_count,test_stop_loss_count,test_time_exit_count
SOLUSDT,5m,11,2025-12-29 12:35:00+00:00,2026-01-15 21:10:00+00:00,2026-01-15 21:15:00+00:00,2026-01-19 08:30:00+00:00,total_pnl,12,50,55.0,False,0.03,0.012,72,2.5,54,41,166.6824760886683,4.065426246065081,56.09756097560976,312.7013743029963,146.01889821432803,2.14151303788096,10166.682476088663,1.6668247608866296,4,8,29,12,50,55.0,False,0.03,0.012,72,2.5,12,9,-28.623349005175328,-3.1803721116861476,22.22222222222222,11.670848380621806,40.29419738579713,0.2896409194822562,9971.376650994822,-0.28623349005178167,0,2,7
SOLUSDT,5m,12,2026-01-01 23:55:00+00:00,2026-01-19 08:30:00+00:00,2026-01-19 08:35:00+00:00,2026-01-22 19:50:00+00:00,total_pnl,10,80,50.0,True,0.03,0.006,96,5.0,44,34,151.99775197935264,4.470522117039784,47.05882352941176,266.650042823352,114.65229084399937,2.3257279977612226,10151.997751979356,1.5199775197935559,6,15,13,10,80,50.0,True,0.03,0.006,96,5.0,8,8,-42.53731621564225,-5.317164526955281,12.5,2.5231754433917786,45.06049165903403,0.05599529322680871,9957.462683784359,-0.42537316215641113,0,6,2
SOLUSDT,5m,13,2026-01-05 11:15:00+00:00,2026-01-22 19:50:00+00:00,2026-01-22 19:55:00+00:00,2026-01-26 07:10:00+00:00,total_pnl,5,50,65.0,True,0.02,0.015,72,1.3333333333333335,28,24,105.59624114067924,4.399843380861635,66.66666666666666,185.6228193392643,80.02657819858507,2.319514635233351,10105.59624114068,1.0559624114067994,8,4,12,5,50,65.0,True,0.02,0.015,72,1.3333333333333335,3,3,-8.354865437705826,-2.7849551459019417,33.33333333333333,0.9998417208022374,9.354707158508063,0.10688113522537004,9991.645134562295,-0.08354865437704574,0,0,3
SOLUSDT,5m,14,2026-01-08 22:35:00+00:00,2026-01-26 07:10:00+00:00,2026-01-26 07:15:00+00:00,2026-01-29 18:30:00+00:00,total_pnl,5,50,65.0,True,0.02,0.015,72,1.3333333333333335,26,22,57.19577686628372,2.599808039376533,54.54545454545454,134.08060091856316,76.88482405227944,1.7439150387779032,10057.195776866285,0.5719577686628509,6,3,13,5,50,65.0,True,0.02,0.015,72,1.3333333333333335,7,5,46.58617221709733,9.317234443419466,60.0,56.32910160000006,9.74292938290273,5.781536474938282,10046.586172217098,0.4658617221709756,3,0,2
SOLUSDT,5m,15,2026-01-12 09:55:00+00:00,2026-01-29 18:30:00+00:00,2026-01-29 18:35:00+00:00,2026-02-02 05:50:00+00:00,total_pnl,5,50,65.0,True,0.02,0.015,72,1.3333333333333335,28,23,140.44372195790902,6.106248780778653,60.86956521739131,188.67493088433628,48.23120892642726,3.9118847543743795,10140.44372195791,1.404437219579104,9,1,13,5,50,65.0,True,0.02,0.015,72,1.3333333333333335,6,6,-62.13185980000003,-10.355309966666672,16.666666666666664,18.77636719999998,80.90822700000001,0.23206993770855935,9937.8681402,-0.621318597999998,1,5,0
SOLUSDT,5m,16,2026-01-15 21:15:00+00:00,2026-02-02 05:50:00+00:00,2026-02-02 05:55:00+00:00,2026-02-05 17:10:00+00:00,total_pnl,5,100,65.0,True,0.02,0.015,48,1.3333333333333335,26,22,21.954923258270696,0.9979510571941226,45.45454545454545,104.85324686366891,82.89832360539822,1.264841583079263,10021.954923258272,0.21954923258272174,4,4,14,5,100,65.0,True,0.02,0.015,48,1.3333333333333335,6,6,-48.68131637987551,-8.113552729979252,16.666666666666664,18.77636719999998,67.45768357987549,0.278342898889601,9951.318683620124,-0.4868131637987608,1,4,1
SOLUSDT,5m,17,2026-01-19 08:35:00+00:00,2026-02-05 17:10:00+00:00,2026-02-05 17:15:00+00:00,2026-02-09 04:30:00+00:00,total_pnl,5,30,60.0,True,0.015,0.015,48,1.0,40,33,54.205529265335485,1.642591795919257,60.60606060606061,206.24034301986921,152.03481375453373,1.3565336644069725,10054.20552926534,0.5420552926534037,13,8,12,5,30,60.0,True,0.015,0.015,48,1.0,12,10,59.281625690908754,5.928162569090875,70.0,96.47655779999945,37.1949321090907,2.5938092188752755,10059.281625690912,0.5928162569091182,7,2,1
SOLUSDT,5m,18,2026-01-22 19:55:00+00:00,2026-02-09 04:30:00+00:00,2026-02-09 04:35:00+00:00,2026-02-12 15:50:00+00:00,total_pnl,5,30,60.0,False,0.015,0.012,24,1.25,43,42,101.78029868801525,2.423340444952744,54.761904761904766,247.2033989265575,145.42310023854225,1.6998908599875928,10101.780298688012,1.0178029868801242,15,9,18,5,30,60.0,False,0.015,0.012,24,1.25,12,10,-28.130575577251193,-2.813057557725119,40.0,26.044879749817937,54.17545532706913,0.48075054639742804,9971.869424422746,-0.2813057557725369,1,3,6
SOLUSDT,5m,19,2026-01-26 07:15:00+00:00,2026-02-12 15:50:00+00:00,2026-02-12 15:55:00+00:00,2026-02-16 03:10:00+00:00,total_pnl,5,30,60.0,False,0.015,0.012,24,1.25,51,48,65.94547334062997,1.3738640279297911,54.166666666666664,259.4659132763753,193.52043993574534,1.3407674835925645,10065.945473340626,0.6594547334062554,15,12,21,5,30,60.0,False,0.015,0.012,24,1.25,7,6,42.2592502034189,7.043208367236484,66.66666666666666,42.558344673058855,0.2990944696399538,142.2906439035468,10042.259250203419,0.4225925020341856,2,0,4
SOLUSDT,5m,20,2026-01-29 18:35:00+00:00,2026-02-16 03:10:00+00:00,2026-02-16 03:15:00+00:00,2026-02-19 14:30:00+00:00,total_pnl,12,30,60.0,True,0.02,0.015,48,1.3333333333333335,60,49,115.169343536469,2.3503947660503877,57.14285714285714,385.6416954811,270.472351944631,1.4258081933640507,10115.169343536469,1.1516934353646866,16,14,19,12,30,60.0,True,0.02,0.015,48,1.3333333333333335,16,12,-101.74320618381603,-8.478600515318002,25.0,15.102773232958953,116.84597941677498,0.1292536834244784,9898.256793816185,-1.0174320618381534,0,6,6
SOLUSDT,5m,21,2026-02-02 05:55:00+00:00,2026-02-19 14:30:00+00:00,2026-02-19 14:35:00+00:00,2026-02-23 01:50:00+00:00,total_pnl,5,30,60.0,False,0.02,0.015,96,1.3333333333333335,54,38,176.87089876253185,4.654497335856101,60.526315789473685,383.8806255261072,207.00972676357537,1.8544086383174405,10176.870898762536,1.7687089876253594,19,12,7,5,30,60.0,False,0.02,0.015,96,1.3333333333333335,10,7,13.559952124216466,1.9371360177452093,42.857142857142854,56.32910159999972,42.76914947578325,1.3170498429456583,10013.559952124217,0.1355995212421658,3,2,2
SOLUSDT,5m,22,2026-02-05 17:15:00+00:00,2026-02-23 01:50:00+00:00,2026-02-23 01:55:00+00:00,2026-02-26 13:10:00+00:00,total_pnl,5,30,60.0,False,0.02,0.015,96,1.3333333333333335,55,38,153.89338359311864,4.049825884029438,57.89473684210527,365.10425832610724,211.2108747329886,1.7286243371117593,10153.893383593122,1.5389338359312206,18,12,8,5,30,60.0,False,0.02,0.015,96,1.3333333333333335,12,10,-74.17666329019823,-7.4176663290198235,30.0,39.09485450980196,113.2715178000002,0.3451428502867814,9925.823336709802,-0.7417666329019812,2,7,1
SOLUSDT,5m,23,2026-02-09 04:35:00+00:00,2026-02-26 13:10:00+00:00,2026-02-26 13:15:00+00:00,2026-03-02 00:30:00+00:00,total_pnl,8,30,65.0,True,0.02,0.015,72,1.3333333333333335,33,28,110.92907794664734,3.9617527838088336,57.14285714285714,231.86841170743844,120.9393337607911,1.9172291139461435,10110.929077946648,1.1092907794664824,10,5,13,8,30,65.0,True,0.02,0.015,72,1.3333333333333335,7,5,15.312431897153715,3.062486379430743,60.0,47.675722697153674,32.36329079999996,1.4731419926293075,10015.312431897153,0.15312431897153148,2,2,1
