symbol,timeframe,model_name,ml_proba_threshold,folds,total_test_rows,signal_count,trade_count,total_pnl,avg_fold_return,avg_pnl,avg_win_rate,take_profit_count,stop_loss_count,time_exit_count,avg_profit_factor,avg_precision_1,avg_recall_1,avg_f1_1,trade_ratio,selection_eligible
BTCUSDT,5m,RandomForest,0.3,90,45000,19871,2835,-3440.126985717457,-0.38223633174636373,-1.1820999887703294,36.70858901438761,271,440,2124,0.557793237620289,0.11735818307603499,0.3314992131102274,0.15941904863009404,0.063,True
BTCUSDT,5m,RandomForest,0.2,90,45000,27046,3257,-4041.6466131270263,-0.4490718459029807,-1.2165487458051403,35.63024010431319,286,461,2510,0.529209228657645,0.11735818307603499,0.3314992131102274,0.15941904863009404,0.07237777777777778,True
BTCUSDT,5m,RandomForest,0.15,90,45000,30982,3428,-4095.162463083194,-0.45501805145366353,-1.1751428230547072,36.81541129393558,300,462,2666,0.5346329622311724,0.11735818307603499,0.3314992131102274,0.15941904863009404,0.07617777777777777,True
BTCUSDT,5m,RandomForest,0.12,90,45000,33411,3521,-4230.464088289606,-0.47005156536548565,-1.1837339003898875,36.20340473021895,289,468,2764,0.5321555904623038,0.11735818307603499,0.3314992131102274,0.15941904863009404,0.07824444444444445,True
BTCUSDT,5m,RandomForest,0.1,90,45000,34985,3572,-4344.149015883583,-0.4826832239870358,-1.201908241951387,36.51312856655193,282,471,2819,0.522251785756051,0.11735818307603499,0.3314992131102274,0.15941904863009404,0.07937777777777778,True
BTCUSDT,5m,RandomForest,0.08,90,45000,36504,3626,-4452.289992955169,-0.4946988881061029,-1.2130535256902932,35.691943250996026,285,473,2868,0.5136314284314802,0.11735818307603499,0.3314992131102274,0.15941904863009404,0.08057777777777778,True
BTCUSDT,5m,RandomForest,0.05,90,45000,39099,3706,-4517.769889497427,-0.501974432166356,-1.2075209770906234,34.90965360498041,290,472,2944,0.5112759530409428,0.11735818307603499,0.3314992131102274,0.15941904863009404,0.08235555555555556,True
