symbol,timeframe,fold,train_start,train_end,test_start,test_end,filter_name,skipped,skip_reason,tp_rate,sl_rate,lookahead_steps,base_signal_count,filtered_signal_count,blocked_signal_count,blocked_trade_count,delta_pnl,delta_avg_pnl,base_trade_count,base_total_pnl,base_avg_pnl,base_win_rate,base_gross_profit,base_gross_loss,base_profit_factor,base_final_equity,base_total_return,base_take_profit_count,base_stop_loss_count,base_time_exit_count,filtered_trade_count,filtered_total_pnl,filtered_avg_pnl,filtered_win_rate,filtered_gross_profit,filtered_gross_loss,filtered_profit_factor,filtered_final_equity,filtered_total_return,filtered_take_profit_count,filtered_stop_loss_count,filtered_time_exit_count
SOLUSDT,5m,1,2025-11-24 19:15:00+00:00,2025-12-12 03:50:00+00:00,2025-12-12 03:55:00+00:00,2025-12-15 15:10:00+00:00,rolling_std_24 > q75 AND atr_14 > q75,False,,0.025,0.01,48,3,0,3,3,0.3855839784091586,0.12852799280305285,3,-0.3855839784091586,-0.12852799280305285,33.33333333333333,2.542036948154987,2.9276209265641455,0.8682944315261198,9999.61441602159,-0.003855839784100681,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0,0,0
SOLUSDT,5m,1,2025-11-24 19:15:00+00:00,2025-12-12 03:50:00+00:00,2025-12-12 03:55:00+00:00,2025-12-15 15:10:00+00:00,rolling_std_24 > q75 AND atr_14 > q75,False,,0.025,0.01,72,3,0,3,3,-9.94251800225959,-3.314172667419863,3,9.94251800225959,3.314172667419863,100.0,9.94251800225959,0.0,999.0,10009.942518002259,0.09942518002259021,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0,0,0
SOLUSDT,5m,1,2025-11-24 19:15:00+00:00,2025-12-12 03:50:00+00:00,2025-12-12 03:55:00+00:00,2025-12-15 15:10:00+00:00,rolling_std_24 > q75 AND atr_14 > q75,False,,0.025,0.01,96,3,0,3,3,-9.90646550179656,-3.30215516726552,3,9.90646550179656,3.30215516726552,66.66666666666666,11.43796278954835,1.5314972877517903,7.468483869363601,10009.906465501797,0.09906465501797357,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0,0,0
SOLUSDT,5m,1,2025-11-24 19:15:00+00:00,2025-12-12 03:50:00+00:00,2025-12-12 03:55:00+00:00,2025-12-15 15:10:00+00:00,rolling_std_24 > q75 AND atr_14 > q75,False,,0.025,0.012,48,3,0,3,3,0.3855839784091586,0.12852799280305285,3,-0.3855839784091586,-0.12852799280305285,33.33333333333333,2.542036948154987,2.9276209265641455,0.8682944315261198,9999.61441602159,-0.003855839784100681,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0,0,0
SOLUSDT,5m,1,2025-11-24 19:15:00+00:00,2025-12-12 03:50:00+00:00,2025-12-12 03:55:00+00:00,2025-12-15 15:10:00+00:00,rolling_std_24 > q75 AND atr_14 > q75,False,,0.025,0.012,72,3,0,3,3,-9.94251800225959,-3.314172667419863,3,9.94251800225959,3.314172667419863,100.0,9.94251800225959,0.0,999.0,10009.942518002259,0.09942518002259021,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0,0,0
SOLUSDT,5m,1,2025-11-24 19:15:00+00:00,2025-12-12 03:50:00+00:00,2025-12-12 03:55:00+00:00,2025-12-15 15:10:00+00:00,rolling_std_24 > q75 AND atr_14 > q75,False,,0.025,0.012,96,3,0,3,3,-9.90646550179656,-3.30215516726552,3,9.90646550179656,3.30215516726552,66.66666666666666,11.43796278954835,1.5314972877517903,7.468483869363601,10009.906465501797,0.09906465501797357,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0,0,0
SOLUSDT,5m,1,2025-11-24 19:15:00+00:00,2025-12-12 03:50:00+00:00,2025-12-12 03:55:00+00:00,2025-12-15 15:10:00+00:00,rolling_std_24 > q75 AND atr_14 > q75,False,,0.025,0.015,48,3,0,3,3,0.3855839784091586,0.12852799280305285,3,-0.3855839784091586,-0.12852799280305285,33.33333333333333,2.542036948154987,2.9276209265641455,0.8682944315261198,9999.61441602159,-0.003855839784100681,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0,0,0
SOLUSDT,5m,1,2025-11-24 19:15:00+00:00,2025-12-12 03:50:00+00:00,2025-12-12 03:55:00+00:00,2025-12-15 15:10:00+00:00,rolling_std_24 > q75 AND atr_14 > q75,False,,0.025,0.015,72,3,0,3,3,-9.94251800225959,-3.314172667419863,3,9.94251800225959,3.314172667419863,100.0,9.94251800225959,0.0,999.0,10009.942518002259,0.09942518002259021,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0,0,0
SOLUSDT,5m,1,2025-11-24 19:15:00+00:00,2025-12-12 03:50:00+00:00,2025-12-12 03:55:00+00:00,2025-12-15 15:10:00+00:00,rolling_std_24 > q75 AND atr_14 > q75,False,,0.025,0.015,96,3,0,3,3,-9.90646550179656,-3.30215516726552,3,9.90646550179656,3.30215516726552,66.66666666666666,11.43796278954835,1.5314972877517903,7.468483869363601,10009.906465501797,0.09906465501797357,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0,0,0
SOLUSDT,5m,1,2025-11-24 19:15:00+00:00,2025-12-12 03:50:00+00:00,2025-12-12 03:55:00+00:00,2025-12-15 15:10:00+00:00,rolling_std_24 > q75 AND atr_14 > q75,False,,0.03,0.01,48,3,0,3,3,0.3855839784091586,0.12852799280305285,3,-0.3855839784091586,-0.12852799280305285,33.33333333333333,2.542036948154987,2.9276209265641455,0.8682944315261198,9999.61441602159,-0.003855839784100681,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0,0,0
SOLUSDT,5m,1,2025-11-24 19:15:00+00:00,2025-12-12 03:50:00+00:00,2025-12-12 03:55:00+00:00,2025-12-15 15:10:00+00:00,rolling_std_24 > q75 AND atr_14 > q75,False,,0.03,0.01,72,3,0,3,3,-9.94251800225959,-3.314172667419863,3,9.94251800225959,3.314172667419863,100.0,9.94251800225959,0.0,999.0,10009.942518002259,0.09942518002259021,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0,0,0
SOLUSDT,5m,1,2025-11-24 19:15:00+00:00,2025-12-12 03:50:00+00:00,2025-12-12 03:55:00+00:00,2025-12-15 15:10:00+00:00,rolling_std_24 > q75 AND atr_14 > q75,False,,0.03,0.01,96,3,0,3,3,-9.90646550179656,-3.30215516726552,3,9.90646550179656,3.30215516726552,66.66666666666666,11.43796278954835,1.5314972877517903,7.468483869363601,10009.906465501797,0.09906465501797357,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0,0,0
