symbol,timeframe,tp_rate,sl_rate,lookahead_steps,reward_risk,entry_count,tp_count,sl_count,time_exit_count,tp_rate_pct,sl_rate_pct,time_exit_rate_pct,avg_gross_return,avg_net_return,trade_count,total_pnl,avg_pnl,win_rate,profit_factor,final_equity,total_return,sim_tp_count,sim_sl_count,sim_time_exit_count
BTCUSDT,5m,0.01,0.008,24,1.25,51571,6356,9684,35531,12.324756161408544,18.777995385003198,68.89724845358826,-1.538028589991455e-05,-0.0012153802858999145,2617,-3139.3033893526226,-1.1995809665084534,39.28162017577378,0.6244008913233379,6860.696610647487,-31.393033893525125,433,615,1569
BTCUSDT,5m,0.008,0.008,24,1.0,51571,9256,9483,32832,17.948071590622636,18.388241453530085,63.663686955847275,-2.0221018330799347e-05,-0.0012202210183307992,2795,-3321.766066359193,-1.188467286711697,41.61001788908766,0.618783594279914,6678.233933641018,-33.21766066358982,655,651,1489
BTCUSDT,5m,0.01,0.006,24,1.6666666666666667,51571,6049,14452,31070,11.729460355626225,28.023501580345545,60.24703806402824,-1.378976318474927e-05,-0.0012137897631847492,2873,-3462.117133216318,-1.2050529527380154,37.13887922032718,0.6095545977688186,6537.882866784076,-34.62117133215924,443,971,1459
BTCUSDT,5m,0.006,0.008,24,0.75,51571,13578,9079,28914,26.32875065443757,17.60485544201198,56.06639390355045,-4.094383408132886e-05,-0.0012409438340813287,3049,-3576.5692466091846,-1.1730302547094735,45.621515250901936,0.6024846102590677,6423.430753390888,-35.76569246609112,1018,676,1355
BTCUSDT,5m,0.008,0.006,24,1.3333333333333333,51571,8813,14202,28556,17.089061681953037,27.53873300886157,55.3722053091854,-2.3817964195004087e-05,-0.0012238179641950039,3073,-3821.1922086728478,-1.2434728957607706,39.27757891311422,0.594912863695894,6178.807791327715,-38.21192208672286,671,1047,1355
BTCUSDT,5m,0.01,0.004,24,2.5,51571,5334,21986,24251,10.343022241182059,42.63248725058657,47.024490508231374,-1.7915976123502727e-05,-0.0012179159761235025,3479,-4122.600089998702,-1.1849957142853411,32.45185398102903,0.5893573594881383,5877.3999100014325,-41.22600089998568,502,1734,1243
BTCUSDT,5m,0.006,0.006,24,1.0,51571,13001,13650,24920,25.20990479145256,26.46836400302496,48.32173120552248,-4.127404623230553e-05,-0.0012412740462323054,3430,-4221.752668397087,-1.230831681748422,42.91545189504373,0.5799500793559023,5778.247331603364,-42.21752668396636,1093,1132,1205
BTCUSDT,5m,0.008,0.004,24,2.0,51571,7837,21661,22073,15.196525178879602,42.00228810765741,42.80118671346299,-2.295044741473886e-05,-0.0012229504474147387,3712,-4259.809981061632,-1.147578119898069,34.536637931034484,0.5912666904008246,5740.190018938728,-42.59809981061272,760,1807,1145
BTCUSDT,5m,0.004,0.008,24,0.5,51571,20832,8151,22588,40.39479552461655,15.805394504663472,43.79980997071998,-5.760730974463086e-05,-0.0012576073097446308,3672,-4310.03886789963,-1.1737578616284394,53.92156862745098,0.5472622005913105,5689.961132100158,-43.10038867899843,1809,737,1126
BTCUSDT,5m,0.01,0.003,24,3.3333333333333335,51571,4726,27151,19694,9.164065075333037,52.64780593744547,38.188128987221496,-8.741499287624347e-06,-0.0012087414992876242,3980,-4617.831319177838,-1.1602591254215673,28.869346733668344,0.5637178659959731,5382.168680821758,-46.178313191782415,504,2373,1103
