symbol,timeframe,model_name,ml_proba_threshold,fold,train_rows,test_rows,train_start,train_end,test_start,test_end,accuracy,precision_1,recall_1,f1_1,signal_count,trade_count,win_count,loss_count,win_rate,total_pnl,avg_pnl,final_equity,total_return,take_profit_count,stop_loss_count,time_exit_count,profit_factor
BTCUSDT,5m,RandomForest,0.12,2,3000,500,2025-11-19 19:35:00+00:00,2025-11-30 05:30:00+00:00,2025-11-30 05:35:00+00:00,2025-12-01 23:10:00+00:00,0.756,0.13333333333333333,0.47058823529411764,0.2077922077922078,431,43,17,26,39.53488372093023,-85.8705707341519,-1.9969900170733,9914.129429265846,-0.8587057073415416,2,8,33,0.3485786522421624
BTCUSDT,5m,RandomForest,0.15,2,3000,500,2025-11-19 19:35:00+00:00,2025-11-30 05:30:00+00:00,2025-11-30 05:35:00+00:00,2025-12-01 23:10:00+00:00,0.756,0.13333333333333333,0.47058823529411764,0.2077922077922078,398,42,19,23,45.23809523809524,-83.32443708849632,-1.983915168773722,9916.675562911507,-0.8332443708849314,4,8,30,0.40637454173170834
BTCUSDT,5m,RandomForest,0.2,2,3000,500,2025-11-19 19:35:00+00:00,2025-11-30 05:30:00+00:00,2025-11-30 05:35:00+00:00,2025-12-01 23:10:00+00:00,0.756,0.13333333333333333,0.47058823529411764,0.2077922077922078,346,39,15,24,38.46153846153847,-82.34891413802222,-2.1115106189236466,9917.65108586198,-0.8234891413801961,2,8,29,0.34577978846564245
BTCUSDT,5m,RandomForest,0.3,2,3000,500,2025-11-19 19:35:00+00:00,2025-11-30 05:30:00+00:00,2025-11-30 05:35:00+00:00,2025-12-01 23:10:00+00:00,0.756,0.13333333333333333,0.47058823529411764,0.2077922077922078,243,35,14,21,40.0,-83.52006029193535,-2.3862874369124385,9916.479939708064,-0.835200602919358,2,9,24,0.3152026453127306
BTCUSDT,5m,RandomForest,0.05,3,3000,500,2025-11-21 13:15:00+00:00,2025-12-01 23:10:00+00:00,2025-12-01 23:15:00+00:00,2025-12-03 16:50:00+00:00,0.744,0.2564102564102564,0.4225352112676056,0.3191489361702128,500,43,19,24,44.18604651162791,15.29524064693544,0.35570327085896375,10015.29524064694,0.15295240646939418,7,3,33,1.186602674548679
BTCUSDT,5m,RandomForest,0.08,3,3000,500,2025-11-21 13:15:00+00:00,2025-12-01 23:10:00+00:00,2025-12-01 23:15:00+00:00,2025-12-03 16:50:00+00:00,0.744,0.2564102564102564,0.4225352112676056,0.3191489361702128,484,43,20,23,46.51162790697674,12.692984734670858,0.29518569150397345,10012.692984734675,0.12692984734674612,7,3,33,1.1513132411587799
BTCUSDT,5m,RandomForest,0.1,3,3000,500,2025-11-21 13:15:00+00:00,2025-12-01 23:10:00+00:00,2025-12-01 23:15:00+00:00,2025-12-03 16:50:00+00:00,0.744,0.2564102564102564,0.4225352112676056,0.3191489361702128,479,43,20,23,46.51162790697674,15.418087443248737,0.35856017309880783,10015.418087443253,0.1541808744325317,7,3,33,1.1818123071516566
BTCUSDT,5m,RandomForest,0.12,3,3000,500,2025-11-21 13:15:00+00:00,2025-12-01 23:10:00+00:00,2025-12-01 23:15:00+00:00,2025-12-03 16:50:00+00:00,0.744,0.2564102564102564,0.4225352112676056,0.3191489361702128,463,43,20,23,46.51162790697674,15.418087443248737,0.35856017309880783,10015.418087443253,0.1541808744325317,7,3,33,1.1818123071516566
BTCUSDT,5m,RandomForest,0.15,3,3000,500,2025-11-21 13:15:00+00:00,2025-12-01 23:10:00+00:00,2025-12-01 23:15:00+00:00,2025-12-03 16:50:00+00:00,0.744,0.2564102564102564,0.4225352112676056,0.3191489361702128,438,43,20,23,46.51162790697674,15.400619393805982,0.3581539393908368,10015.40061939381,0.15400619393809392,7,3,33,1.1816063213974364
BTCUSDT,5m,RandomForest,0.2,3,3000,500,2025-11-21 13:15:00+00:00,2025-12-01 23:10:00+00:00,2025-12-01 23:15:00+00:00,2025-12-03 16:50:00+00:00,0.744,0.2564102564102564,0.4225352112676056,0.3191489361702128,394,42,17,25,40.476190476190474,7.988235734462023,0.19019608891576245,10007.988235734469,0.07988235734468617,7,3,32,1.0989429351841884
